Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;memberID;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;50;2;23a5598a-75e1-4df3-92c9-226abacaa66b
0;0;2019-01-01T11:00:00.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;49;1;aa99b296-20e2-4ac1-bd83-c65c80631beb
0;0;2019-01-01T11:00:00.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;50;1;bf5e4736-750b-4fc3-8c25-9383b367315f
1;1;2019-01-01T11:00:01.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;49;3;23a5598a-75e1-4df3-92c9-226abacaa66b
1;1;2019-01-01T11:00:01.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;50;2;aa99b296-20e2-4ac1-bd83-c65c80631beb
1;1;2019-01-01T11:00:01.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;49;2;bf5e4736-750b-4fc3-8c25-9383b367315f
2;2;2019-01-01T11:00:02.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;48;4;23a5598a-75e1-4df3-92c9-226abacaa66b
2;2;2019-01-01T11:00:02.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;49;3;aa99b296-20e2-4ac1-bd83-c65c80631beb
2;2;2019-01-01T11:00:02.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;49;3;bf5e4736-750b-4fc3-8c25-9383b367315f
3;3;2019-01-01T11:00:03.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;47;5;23a5598a-75e1-4df3-92c9-226abacaa66b
3;3;2019-01-01T11:00:03.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;48;4;aa99b296-20e2-4ac1-bd83-c65c80631beb
3;3;2019-01-01T11:00:03.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;48;4;bf5e4736-750b-4fc3-8c25-9383b367315f
4;4;2019-01-01T11:00:04.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;46;6;23a5598a-75e1-4df3-92c9-226abacaa66b
4;4;2019-01-01T11:00:04.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;47;5;aa99b296-20e2-4ac1-bd83-c65c80631beb
4;4;2019-01-01T11:00:04.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;47;5;bf5e4736-750b-4fc3-8c25-9383b367315f
5;5;2019-01-01T11:00:05.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;45;7;23a5598a-75e1-4df3-92c9-226abacaa66b
5;5;2019-01-01T11:00:05.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;46;6;aa99b296-20e2-4ac1-bd83-c65c80631beb
5;5;2019-01-01T11:00:05.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;46;6;bf5e4736-750b-4fc3-8c25-9383b367315f
6;6;2019-01-01T11:00:06.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;44;8;23a5598a-75e1-4df3-92c9-226abacaa66b
6;6;2019-01-01T11:00:06.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;45;7;aa99b296-20e2-4ac1-bd83-c65c80631beb
6;6;2019-01-01T11:00:06.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;45;7;bf5e4736-750b-4fc3-8c25-9383b367315f
7;7;2019-01-01T11:00:07.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;43;9;23a5598a-75e1-4df3-92c9-226abacaa66b
7;7;2019-01-01T11:00:07.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;44;8;aa99b296-20e2-4ac1-bd83-c65c80631beb
7;7;2019-01-01T11:00:07.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;44;8;bf5e4736-750b-4fc3-8c25-9383b367315f
8;8;2019-01-01T11:00:08.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;42;10;23a5598a-75e1-4df3-92c9-226abacaa66b
8;8;2019-01-01T11:00:08.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;43;9;aa99b296-20e2-4ac1-bd83-c65c80631beb
8;8;2019-01-01T11:00:08.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;43;9;bf5e4736-750b-4fc3-8c25-9383b367315f
9;9;2019-01-01T11:00:09.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;41;11;23a5598a-75e1-4df3-92c9-226abacaa66b
9;9;2019-01-01T11:00:09.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;42;10;aa99b296-20e2-4ac1-bd83-c65c80631beb
9;9;2019-01-01T11:00:09.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;42;10;bf5e4736-750b-4fc3-8c25-9383b367315f
10;10;2019-01-01T11:00:10.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;40;12;23a5598a-75e1-4df3-92c9-226abacaa66b
10;10;2019-01-01T11:00:10.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;41;11;aa99b296-20e2-4ac1-bd83-c65c80631beb
10;10;2019-01-01T11:00:10.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;41;11;bf5e4736-750b-4fc3-8c25-9383b367315f
11;11;2019-01-01T11:00:11.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;39;13;23a5598a-75e1-4df3-92c9-226abacaa66b
11;11;2019-01-01T11:00:11.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;40;12;aa99b296-20e2-4ac1-bd83-c65c80631beb
11;11;2019-01-01T11:00:11.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;40;12;bf5e4736-750b-4fc3-8c25-9383b367315f
12;12;2019-01-01T11:00:12.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;38;14;23a5598a-75e1-4df3-92c9-226abacaa66b
12;12;2019-01-01T11:00:12.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;39;13;aa99b296-20e2-4ac1-bd83-c65c80631beb
12;12;2019-01-01T11:00:12.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;39;13;bf5e4736-750b-4fc3-8c25-9383b367315f
13;13;2019-01-01T11:00:13.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;37;15;23a5598a-75e1-4df3-92c9-226abacaa66b
13;13;2019-01-01T11:00:13.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;38;14;aa99b296-20e2-4ac1-bd83-c65c80631beb
13;13;2019-01-01T11:00:13.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;38;14;bf5e4736-750b-4fc3-8c25-9383b367315f
14;14;2019-01-01T11:00:14.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;36;16;23a5598a-75e1-4df3-92c9-226abacaa66b
14;14;2019-01-01T11:00:14.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;37;15;aa99b296-20e2-4ac1-bd83-c65c80631beb
14;14;2019-01-01T11:00:14.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;37;15;bf5e4736-750b-4fc3-8c25-9383b367315f
15;15;2019-01-01T11:00:15.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;35;17;23a5598a-75e1-4df3-92c9-226abacaa66b
15;15;2019-01-01T11:00:15.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;36;16;aa99b296-20e2-4ac1-bd83-c65c80631beb
15;15;2019-01-01T11:00:15.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;36;16;bf5e4736-750b-4fc3-8c25-9383b367315f
16;16;2019-01-01T11:00:16.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;34;18;23a5598a-75e1-4df3-92c9-226abacaa66b
16;16;2019-01-01T11:00:16.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;35;17;aa99b296-20e2-4ac1-bd83-c65c80631beb
16;16;2019-01-01T11:00:16.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;35;17;bf5e4736-750b-4fc3-8c25-9383b367315f
17;17;2019-01-01T11:00:17.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;33;19;23a5598a-75e1-4df3-92c9-226abacaa66b
17;17;2019-01-01T11:00:17.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;34;18;aa99b296-20e2-4ac1-bd83-c65c80631beb
17;17;2019-01-01T11:00:17.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;34;18;bf5e4736-750b-4fc3-8c25-9383b367315f
18;18;2019-01-01T11:00:18.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;32;20;23a5598a-75e1-4df3-92c9-226abacaa66b
18;18;2019-01-01T11:00:18.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;33;19;aa99b296-20e2-4ac1-bd83-c65c80631beb
18;18;2019-01-01T11:00:18.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;33;19;bf5e4736-750b-4fc3-8c25-9383b367315f
19;19;2019-01-01T11:00:19.0000000+01:00;10;blue;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;50;2;31;21;23a5598a-75e1-4df3-92c9-226abacaa66b
19;19;2019-01-01T11:00:19.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;32;20;aa99b296-20e2-4ac1-bd83-c65c80631beb
19;19;2019-01-01T11:00:19.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;32;20;bf5e4736-750b-4fc3-8c25-9383b367315f
20;20;2019-01-01T11:00:20.0000000+01:00;10;blue;standing;90;False;5;1;0;0;0;False;0;10;10;True;2;50;2;30;22;23a5598a-75e1-4df3-92c9-226abacaa66b
20;20;2019-01-01T11:00:20.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;31;21;aa99b296-20e2-4ac1-bd83-c65c80631beb
20;20;2019-01-01T11:00:20.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;31;21;bf5e4736-750b-4fc3-8c25-9383b367315f
21;21;2019-01-01T11:00:21.0000000+01:00;10;blue;standing;80;False;5;1;0;0;0;False;0;10;10;True;1;50;2;29;23;23a5598a-75e1-4df3-92c9-226abacaa66b
21;21;2019-01-01T11:00:21.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;30;22;aa99b296-20e2-4ac1-bd83-c65c80631beb
21;21;2019-01-01T11:00:21.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;30;22;bf5e4736-750b-4fc3-8c25-9383b367315f
22;22;2019-01-01T11:00:22.0000000+01:00;10;blue;standing;70;False;5;1;0;0;0;False;0;10;10;True;2;50;2;28;24;23a5598a-75e1-4df3-92c9-226abacaa66b
22;22;2019-01-01T11:00:22.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;29;23;aa99b296-20e2-4ac1-bd83-c65c80631beb
22;22;2019-01-01T11:00:22.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;29;23;bf5e4736-750b-4fc3-8c25-9383b367315f
23;23;2019-01-01T11:00:23.0000000+01:00;10;blue;standing;70;False;5;1;0;0;0;False;0;10;10;True;1;50;2;27;25;23a5598a-75e1-4df3-92c9-226abacaa66b
23;23;2019-01-01T11:00:23.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;28;24;aa99b296-20e2-4ac1-bd83-c65c80631beb
23;23;2019-01-01T11:00:23.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;28;24;bf5e4736-750b-4fc3-8c25-9383b367315f
24;24;2019-01-01T11:00:24.0000000+01:00;10;blue;standing;70;False;5;1;0;0;0;False;0;10;10;True;0;50;2;26;26;23a5598a-75e1-4df3-92c9-226abacaa66b
24;24;2019-01-01T11:00:24.0000000+01:00;10;blue;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;49;1;27;25;aa99b296-20e2-4ac1-bd83-c65c80631beb
24;24;2019-01-01T11:00:24.0000000+01:00;10;blue;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;50;1;27;25;bf5e4736-750b-4fc3-8c25-9383b367315f
