Tick;Step;DateTime;free;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
0;0;2019-01-01T11:00:00.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
0;0;2019-01-01T11:00:00.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
1;1;2019-01-01T11:00:01.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
1;1;2019-01-01T11:00:01.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
1;1;2019-01-01T11:00:01.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
2;2;2019-01-01T11:00:02.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
2;2;2019-01-01T11:00:02.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
2;2;2019-01-01T11:00:02.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
3;3;2019-01-01T11:00:03.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
3;3;2019-01-01T11:00:03.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
3;3;2019-01-01T11:00:03.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
4;4;2019-01-01T11:00:04.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
4;4;2019-01-01T11:00:04.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
4;4;2019-01-01T11:00:04.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
5;5;2019-01-01T11:00:05.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
5;5;2019-01-01T11:00:05.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
5;5;2019-01-01T11:00:05.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
6;6;2019-01-01T11:00:06.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
6;6;2019-01-01T11:00:06.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
6;6;2019-01-01T11:00:06.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
7;7;2019-01-01T11:00:07.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
7;7;2019-01-01T11:00:07.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
7;7;2019-01-01T11:00:07.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
8;8;2019-01-01T11:00:08.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
8;8;2019-01-01T11:00:08.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
8;8;2019-01-01T11:00:08.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
9;9;2019-01-01T11:00:09.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
9;9;2019-01-01T11:00:09.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
9;9;2019-01-01T11:00:09.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
10;10;2019-01-01T11:00:10.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
10;10;2019-01-01T11:00:10.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
10;10;2019-01-01T11:00:10.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
11;11;2019-01-01T11:00:11.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
11;11;2019-01-01T11:00:11.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
11;11;2019-01-01T11:00:11.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
12;12;2019-01-01T11:00:12.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
12;12;2019-01-01T11:00:12.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
12;12;2019-01-01T11:00:12.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
13;13;2019-01-01T11:00:13.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
13;13;2019-01-01T11:00:13.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
13;13;2019-01-01T11:00:13.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
14;14;2019-01-01T11:00:14.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
14;14;2019-01-01T11:00:14.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
14;14;2019-01-01T11:00:14.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
15;15;2019-01-01T11:00:15.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
15;15;2019-01-01T11:00:15.0000000+01:00;True;13;10;b098fb2a-b1bd-4724-872c-9baeb635bb0a
15;15;2019-01-01T11:00:15.0000000+01:00;True;35;8;4db8c93c-747a-4128-b806-f54a018a4b80
16;16;2019-01-01T11:00:16.0000000+01:00;True;22;7;df5a7187-1a1e-4168-9aa1-ec385fe7590f
