Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;memberID;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;1;1;1;f3204a99-dd3b-4690-b03b-7bffb051eba9
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;1;1;1;f3204a99-dd3b-4690-b03b-7bffb051eba9
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;1;1;1;f3204a99-dd3b-4690-b03b-7bffb051eba9
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;1;1;1;f3204a99-dd3b-4690-b03b-7bffb051eba9
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;1;1;1;f3204a99-dd3b-4690-b03b-7bffb051eba9
5;5;2019-01-01T11:00:05.0000000+01:00;10;red;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;1;2;1;9dfd4471-cd3f-4bab-8b67-b0bb04c190c6
5;5;2019-01-01T11:00:05.0000000+01:00;10;red;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;2;1;2;5d97274e-bc3d-4a66-9309-7eb7fda54a71
