Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;memberID;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;2;50;1f83bceb-4714-46a6-b71f-7f407e7aef89
0;0;2019-01-01T11:00:00.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;1;49;17e0a18e-0697-44cb-ab5d-77833289990f
0;0;2019-01-01T11:00:00.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;1;50;bafbd049-5336-476e-8ea7-50750f676ba5
1;1;2019-01-01T11:00:01.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;3;49;1f83bceb-4714-46a6-b71f-7f407e7aef89
1;1;2019-01-01T11:00:01.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;2;50;17e0a18e-0697-44cb-ab5d-77833289990f
1;1;2019-01-01T11:00:01.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;2;49;bafbd049-5336-476e-8ea7-50750f676ba5
2;2;2019-01-01T11:00:02.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;4;48;1f83bceb-4714-46a6-b71f-7f407e7aef89
2;2;2019-01-01T11:00:02.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;3;49;17e0a18e-0697-44cb-ab5d-77833289990f
2;2;2019-01-01T11:00:02.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;3;49;bafbd049-5336-476e-8ea7-50750f676ba5
3;3;2019-01-01T11:00:03.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;5;47;1f83bceb-4714-46a6-b71f-7f407e7aef89
